id,strain,sire,dam1,dam2,dam3,dam4,sex,generation,dob,litter.size,sevrage,dtc,n.females,n.males,n.sibs,n.cage,cage.id,cage.type,sire.present,multiple.dams,coat.color,d40,d50,d60,bw30,bw40,bw50,bw60,comments.x,age.sev,age.40,age.50,age.60,g1,g2,g3,pwg,dam1.age,dam2.age,dam3.age,dam4.age,dam.age,sac.date,sac.age,time,na,nt,femur,ecw,liver,spleen,kidney,heart,testis,gfp,rfp,mfp,ffp,brain,muscle,X1g_wt,comments.y,tail,tf
7178,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-02-02,6,2013-03-04,2013-03-04,3,3,6,5,521,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,14.72,20.17,23.69,25.98,d50+4,30,40,50,60,5.45,3.52,2.29,11.26,136,=,=,=,136,2013-04-03,60,15:24:00,93,175,14.65,10.343,1.145,0.075,0.271,0.108,0.178,0.348,0.069,0.219,0.285,0.4,0.148,=,=,82,0.921
7179,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-02-02,6,2013-03-04,2013-03-04,3,3,6,5,521,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,15.15,19.97,23.5,25.58,d50+4,30,40,50,60,4.82,3.53,2.08,10.43,136,=,=,=,136,2013-04-03,60,15:39:00,94,174,14.55,10.025,1.238,0.088,0.269,0.131,0.163,0.238,0.047,0.167,0.258,0.412,0.174,=,=,80,0.71
7180,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-02-02,6,2013-03-04,2013-03-04,3,3,6,5,521,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,14.19,19.9,23.59,24.52,d50+4,30,40,50,60,5.71,3.69,0.93,10.33,136,=,=,=,136,2013-04-03,60,15:53:00,93,174,14.5,9.924,1.096,0.06,0.256,0.109,0.172,0.349,0.081,0.225,0.314,0.411,0.161,=,=,81,0.969
7181,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-02-02,10,2013-03-04,2013-03-04,5,5,10,5,521,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,16.08,21.19,24.57,25.62,d50+4,30,40,50,60,5.11,3.38,1.05,9.54,151,169,=,=,160,2013-04-03,60,16:10:00,94,177,14.8,10.478,1.194,0.075,0.295,0.11,0.17,0.398,0.077,0.217,0.29,0.404,0.184,=,=,83,0.982
7182,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-02-02,10,2013-03-04,2013-03-04,5,5,10,5,522,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,13.71,18.53,22.05,23.31,d50+4,30,40,50,60,4.82,3.52,1.26,9.6,151,169,=,=,160,2013-04-03,60,16:26:00,91,174,14.35,9.497,0.945,0.067,0.265,0.113,0.161,0.334,0.07,0.199,0.305,0.386,0.133,=,=,83,0.908
7183,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-02-02,10,2013-03-04,2013-03-04,5,5,10,5,522,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,15.85,20.48,23.7,25.1,d50+4,30,40,50,60,4.63,3.22,1.4,9.25,151,169,=,=,160,2013-04-03,60,16:41:36,93,175,14.65,10.222,1.063,0.082,0.251,0.08,0.166,0.28,0.044,0.149,0.234,0.395,0.155,=,=,82,0.707
7184,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-02-02,10,2013-03-04,2013-03-04,5,5,10,5,522,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,16.03,20.73,24.6,25.99,d50+4,30,40,50,60,4.7,3.87,1.39,9.96,151,169,=,=,160,2013-04-03,60,16:55:00,93,170,14.65,10.374,1.128,0.079,0.272,0.115,0.178,0.394,0.087,0.196,0.318,0.402,0.208,=,=,77,0.995
7185,B6.A-19 BC2,6581,6823,6813,=,=,M,BC2,2013-02-02,10,2013-03-04,2013-03-04,5,5,10,5,522,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,16.13,20.68,23.03,24.51,d50+4,30,40,50,60,4.55,2.35,1.48,8.38,151,169,=,=,160,2013-04-03,60,17:11:00,94,173,14.5,9.717,0.976,0.069,0.255,0.107,0.188,0.369,0.072,0.195,0.326,0.4,0.153,=,=,79,0.962
7186,B6.A-X BC1,6685,=,=,=,=,M,BC1,2013-02-02,7,2013-03-04,2013-03-04,4,3,7,5,522,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,17.04,22.09,25.1,26.3,d50+4,30,40,50,60,5.05,3.01,1.2,9.26,112,151,136,=,133,2013-04-03,60,17:30:00,96,176,14.8,10.691,1.085,0.073,0.286,0.112,0.155,0.291,0.046,0.179,0.239,0.391,0.176,=,=,80,0.755
7187,B6.A-X BC1,6685,=,=,=,=,M,BC1,2013-02-02,7,2013-03-04,2013-03-04,4,3,7,5,523,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,17.36,20.49,22.08,23.5,d50+4,30,40,50,60,3.13,1.59,1.42,6.14,112,151,136,=,133,2013-04-03,60,17:45:00,94,177,14.3,9.735,1.038,0.069,0.259,0.107,0.172,0.431,0.082,0.228,0.333,0.396,0.176,=,=,83,1.074
7188,B6.A-X BC1,6685,=,=,=,=,M,BC1,2013-02-02,7,2013-03-04,2013-03-04,4,3,7,5,523,S,1,1,B,2013-03-14,2013-03-24,2013-04-03,17.45,21.1,23.26,25.35,d50+4,30,40,50,60,3.65,2.16,2.09,7.9,112,151,136,=,133,2013-04-03,60,18:02:00,94,178,14.75,10.123,1.117,0.071,0.311,0.102,0.158,0.41,0.072,0.219,0.309,0.417,0.179,=,=,84,1.01
7189,B6.A-15 BC2,6764,6811,6835,=,=,M,BC2,2013-02-06,4,2013-03-08,2013-03-08,1,3,4,5,523,S,1,1,B,2013-03-18,2013-03-28,2013-04-07,16.66,19.1,22.65,23.31,=,30,40,50,60,2.44,3.55,0.66,6.65,173,155,=,=,164,2013-04-08,61,14:20:00,93,176,14.25,9.771,1.094,0.07,0.258,0.114,0.182,0.335,0.071,0.169,0.313,0.407,0.109,=,=,83,0.888
7190,B6.A-15 BC2,6764,6811,6835,=,=,M,BC2,2013-02-06,4,2013-03-08,2013-03-08,1,3,4,5,523,S,1,1,B,2013-03-18,2013-03-28,2013-04-07,17.62,19.61,22.44,24.9,=,30,40,50,60,1.99,2.83,2.46,7.28,173,155,=,=,164,2013-04-08,61,14:35:00,94,175,14.5,10.79,1.05,0.074,0.275,0.11,0.194,0.393,0.074,0.201,0.281,0.415,0.169,=,L,81,0.949
7191,B6.A-15 BC2,6764,6811,6835,=,=,M,BC2,2013-02-06,4,2013-03-08,2013-03-08,1,3,4,5,523,S,1,1,B,2013-03-18,2013-03-28,2013-04-07,17.88,19.73,21.61,24.42,=,30,40,50,60,1.85,1.88,2.81,6.54,173,155,=,=,164,2013-04-08,61,14:51:00,94,176,=,10.168,1.067,0.073,0.272,0.114,0.185,0.368,0.061,0.181,0.313,0.405,0.184,=,=,82,0.923
7192,B6.A-19 BC2,6665,6848,=,=,=,M,BC2,2013-02-08,7,2013-03-10,2013-03-10,1,6,7,6,524,S,1,1,B,2013-03-20,2013-03-30,2013-04-09,15.74,19.09,21,23.23,d40+1; d50+2,30,40,50,60,3.35,1.91,2.23,7.49,142,=,=,=,142,2013-04-10,61,15:01:00,93,173,14.75,9.606,0.992,0.063,0.254,0.104,0.17,0.303,0.059,0.169,0.292,0.401,0.133,=,=,80,0.823
7193,B6.A-19 BC2,6665,6848,=,=,=,M,BC2,2013-02-08,7,2013-03-10,2013-03-10,1,6,7,6,524,S,1,1,B,2013-03-20,2013-03-30,2013-04-09,14.8,19,20.88,21.27,d40+1; d50+2,30,40,50,60,4.2,1.88,0.39,6.47,142,=,=,=,142,2013-04-10,61,15:15:00,91,174,14.4,8.634,0.899,0.062,0.225,0.094,0.172,0.343,0.063,0.164,0.289,0.397,0.14,=,=,83,0.859
7194,B6.A-19 BC2,6665,6848,=,=,=,M,BC2,2013-02-08,7,2013-03-10,2013-03-10,1,6,7,6,524,S,1,1,B,2013-03-20,2013-03-30,2013-04-09,14.21,18.15,21.76,22.99,d40+1; d50+2,30,40,50,60,3.94,3.61,1.23,8.78,142,=,=,=,142,2013-04-10,61,15:31:00,93,172,14.4,9.361,0.937,0.062,0.241,0.097,0.161,0.316,0.061,0.147,0.279,0.409,0.133,=,=,79,0.803
7195,B6.A-19 BC2,6665,6848,=,=,=,M,BC2,2013-02-08,7,2013-03-10,2013-03-10,1,6,7,6,524,S,1,1,B,2013-03-20,2013-03-30,2013-04-09,13.9,17.8,19.88,20.68,d40+1; d50+2,30,40,50,60,3.9,2.08,0.8,6.78,142,=,=,=,142,2013-04-10,61,15:46:00,90,169,14.35,8.441,0.838,0.055,0.242,0.09,0.16,0.264,0.053,0.158,0.238,0.385,0.14,=,=,79,0.713
7196,B6.A-19 BC2,6665,6848,=,=,=,M,BC2,2013-02-08,7,2013-03-10,2013-03-10,1,6,7,6,524,S,1,1,B,2013-03-20,2013-03-30,2013-04-09,14.44,19.16,21.35,22.48,d40+1; d50+2,30,40,50,60,4.72,2.19,1.13,8.04,142,=,=,=,142,2013-04-10,61,16:02:00,91,172,14.55,9.219,0.898,0.068,0.253,0.095,0.16,0.374,0.074,0.155,0.285,0.393,0.148,=,=,81,0.888
7197,B6.A-19 BC2,6665,6848,=,=,=,M,BC2,2013-02-08,7,2013-03-10,2013-03-10,1,6,7,6,524,S,1,1,B,2013-03-20,2013-03-30,2013-04-09,14.61,19.12,21.69,23.25,d40+1; d50+2,30,40,50,60,4.51,2.57,1.56,8.64,142,=,=,=,142,2013-04-10,61,16:17:00,91,172,14.45,9.478,0.829,0.066,0.223,0.091,0.156,0.375,0.08,0.224,0.31,0.383,0.108,=,=,81,0.989
7220,B6.A-15 BC2,6765,6825,6779,=,=,M,BC2,2013-02-14,3,2013-03-16,2013-03-16,2,1,3,5,531,S,1,1,B,2013-03-26,2013-04-05,2013-04-15,19.79,23.47,27,27.29,d50+2,30,40,50,60,3.68,3.53,0.29,7.5,163,201,=,=,182,2013-04-15,60,10:25:00,98,178,15,11.069,1.32,0.074,0.301,0.113,0.182,0.541,0.116,0.206,0.389,0.408,0.181,=,=,80,1.252
7221,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-02-14,7,2013-03-16,2013-03-16,3,4,7,5,231,S,1,1,B,2013-03-26,2013-04-05,2013-04-15,16.19,19.97,24.38,26.85,in w/7230-7231 ~12g each; d50+2,30,40,50,60,3.78,4.41,2.47,10.66,163,163,=,=,163,2013-04-15,60,10:43:00,93,176,14.5,10.64,1.26,0.082,0.269,0.111,0.189,0.404,0.07,0.207,0.333,0.403,0.156,=,=,83,1.014
7222,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-02-14,7,2013-03-16,2013-03-16,3,4,7,5,231,S,1,1,B,2013-03-26,2013-04-05,2013-04-15,16.26,20.62,24.68,26.05,d50+2,30,40,50,60,4.36,4.06,1.37,9.79,163,163,=,=,163,2013-04-15,60,10:59:00,96,177,14.75,10.816,1.271,0.082,0.283,0.113,0.19,0.317,0.04,0.159,0.226,0.409,0.172,=,=,81,0.742
7230,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-02-14,7,2013-03-16,2013-03-16,3,4,7,5,531,S,1,1,B,2013-03-26,2013-04-05,2013-04-15,11.79,15.45,18.67,21.1,unsure if from same litter as 7221-7222; sibs weigh 16g. Pups from dob 1/3 were less lucid and smaller < 9 g; d50+2,30,40,50,60,3.66,3.22,2.43,9.31,163,163,=,=,163,2013-04-15,60,11:15:00,89,165,=,8.181,1.116,0.055,0.216,0.096,0.154,0.4,0.067,0.153,0.287,0.372,0.118,=,=,76,0.907
7231,B6.A-17 BC2,6590,6826,6827,=,=,M,BC2,2013-02-14,7,2013-03-16,2013-03-16,3,4,7,5,531,S,1,1,B,2013-03-26,2013-04-05,2013-04-15,12.44,16.88,20.6,23.06,unsure if from same litter as 7221-7222; sibs weigh 16g. Pups from dob 1/3 were less lucid and smaller < 9 g; d50+2,30,40,50,60,4.44,3.72,2.46,10.62,163,163,=,=,163,2013-04-15,60,11:30:00,92,172,14.1,9.544,0.841,0.097,0.254,0.126,0.157,0.327,0.058,0.207,0.291,0.412,0.144,=,=,80,0.883
7242,B6.A-15 BC2,6765,6825,6779,=,=,M,BC2,2013-02-20,4,2013-03-22,2013-03-22,2,2,4,4,536,S,1,1,B,2013-04-01,2013-04-11,2013-04-21,16.05,19.9,24.01,25.7,=,30,40,50,60,3.85,4.11,1.69,9.65,169,207,=,=,188,2013-04-22,61,16:30:00,94,176,14.6,10.649,1.113,0.072,0.281,0.116,0.185,0.378,0.072,0.205,0.294,0.415,0.174,=,=,82,0.949
7243,B6.A-15 BC2,6765,6825,6779,=,=,M,BC2,2013-02-20,4,2013-03-22,2013-03-22,2,2,4,4,536,S,1,1,B,2013-04-01,2013-04-11,2013-04-21,18.48,22.19,24.75,26.17,=,30,40,50,60,3.71,2.56,1.42,7.69,169,207,=,=,188,2013-04-22,61,16:44:00,96,178,14.95,10.791,1.15,0.062,0.302,0.114,0.173,0.411,0.087,0.219,0.322,0.423,0.165,=,=,82,1.039
7267,B6.A-X BC1,6685,7015,6829,=,=,M,BC1,2013-02-25,3,2013-03-27,2013-03-27,2,1,3,4,542,S,1,1,B,2013-04-06,2013-04-16,2013-04-26,13.21,19.98,23.96,24.94,based on size; in w 2/28,30,40,50,60,6.77,3.98,0.98,11.73,135,174,=,=,155,2013-04-26,60,14:33:00,96,174,14.15,9.738,0.818,0.092,0.297,0.111,0.174,0.528,0.144,0.262,0.538,0.438,0.122,=,=,78,1.472
7268,B6.A-19 BC2,6610,7014,6028,=,=,M,BC2,2013-02-27,7,2013-03-27,2013-03-27,4,3,7,4,542,S,1,1,B,2013-04-08,2013-04-18,2013-04-28,15.15,20.09,23.63,24.6,based on size; in w 2/28,28,40,50,60,4.94,3.54,0.97,9.45,137,346,=,=,242,2013-04-29,61,13:35:00,103,178,14.7,10.596,1.094,0.069,0.271,0.105,0.183,0.431,0.075,0.215,0.272,0.398,0.155,=,=,75,0.993
7269,B6.A-19 BC2,6610,7014,6028,=,=,M,BC2,2013-02-27,7,2013-03-27,2013-03-27,4,3,7,4,542,S,1,1,B,2013-04-08,2013-04-18,2013-04-28,15.48,20.59,23.65,24.53,based on size; in w 2/28,28,40,50,60,5.11,3.06,0.88,9.05,137,346,=,=,242,2013-04-29,61,13:52:00,104,179,14.5,9.916,1.114,0.062,0.255,0.1,0.161,0.423,0.08,0.238,0.271,0.405,0.169,=,=,75,1.012
7270,B6.A-19 BC2,6610,7014,6028,=,=,M,BC2,2013-02-27,7,2013-03-27,2013-03-27,4,3,7,4,542,S,1,1,B,2013-04-08,2013-04-18,2013-04-28,15.7,21.03,24.12,24.61,based on size; in w 2/28,28,40,50,60,5.33,3.09,0.49,8.91,137,346,=,=,242,2013-04-29,61,14:09:00,104,182,14.6,10.123,1.004,0.069,0.279,0.105,0.188,0.377,0.056,0.173,0.251,0.409,0.141,=,=,78,0.857
7271,B6.A-19 BC2,6610,7014,6028,=,=,M,BC2,2013-02-28,7,2013-03-29,2013-03-29,4,3,7,4,543,S,1,1,B,2013-04-09,2013-04-19,2013-04-29,12.55,19.16,22.2,22.94,based on size; in w 2/25,29,40,50,60,6.61,3.04,0.74,10.39,138,347,=,=,243,2013-04-30,61,15:25:00,102,177,14.25,9.524,1.044,0.058,0.252,0.103,0.182,0.315,0.067,0.202,0.317,0.402,0.154,=,=,75,0.901
7272,B6.A-19 BC2,6610,7014,6028,=,=,M,BC2,2013-02-28,7,2013-03-29,2013-03-29,4,3,7,4,543,S,1,1,B,2013-04-09,2013-04-19,2013-04-29,11.46,19.37,23.09,24.43,based on size; in w 2/25,29,40,50,60,7.91,3.72,1.34,12.97,138,347,=,=,243,2013-04-30,61,15:45:00,103,176,14.55,10.196,1.19,0.077,0.266,0.109,0.16,0.328,0.066,0.19,0.288,0.393,0.149,=,=,73,0.872
7273,B6.A-19 BC2,6610,7014,6028,=,=,M,BC2,2013-02-28,7,2013-03-29,2013-03-29,4,3,7,4,543,S,1,1,B,2013-04-09,2013-04-19,2013-04-29,12.31,19.1,23.76,24.57,based on size; in w 2/25,29,40,50,60,6.79,4.66,0.81,12.26,138,347,=,=,243,2013-04-30,61,15:59:00,104,178,14.75,10.242,1.123,0.087,0.277,0.105,0.181,0.276,0.049,0.173,0.251,0.406,0.137,=,=,74,0.749
7274,B6.A-19 BC2,6610,7014,6028,=,=,M,BC2,2013-02-28,7,2013-03-29,2013-03-29,4,3,7,4,543,S,1,1,B,2013-04-09,2013-04-19,2013-04-29,14,19.17,21.9,23.61,based on size; in w 2/25,29,40,50,60,5.17,2.73,1.71,9.61,138,347,=,=,243,2013-04-30,61,16:14:00,104,177,14.6,10.142,1.021,0.066,0.288,0.107,0.179,0.305,0.05,0.179,0.257,0.403,0.137,=,=,73,0.791
7275,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-03-01,6,2013-04-01,2013-04-01,2,4,6,5,544,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.98,18.95,21.49,23.06,d30+1,31,40,50,60,3.97,2.54,1.57,8.08,163,=,=,=,163,2013-04-30,60,16:29:30,98,171,14.35,9.483,0.862,0.063,0.273,0.104,0.168,0.314,0.06,0.18,0.293,0.39,0.152,=,=,73,0.847
7276,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-03-01,6,2013-04-01,2013-04-01,2,4,6,5,544,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.54,18.29,20.87,23.11,d30+1,31,40,50,60,3.75,2.58,2.24,8.57,163,=,=,=,163,2013-04-30,60,16:43:00,91,171,14.35,9.285,0.896,0.062,0.261,0.105,0.172,0.31,0.067,0.182,0.293,0.4,0.117,=,=,80,0.852
7277,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-03-01,6,2013-04-01,2013-04-01,2,4,6,5,544,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.6,19.61,23.04,24.35,d30+1,31,40,50,60,5.01,3.43,1.31,9.75,163,=,=,=,163,2013-04-30,60,16:57:00,95,176,14.4,10.012,0.976,0.075,0.257,0.106,0.171,0.343,0.062,0.173,0.295,0.391,0.136,=,=,81,0.873
7278,B6.A-17 BC2,6716,6851,=,=,=,M,BC2,2013-03-01,6,2013-04-01,2013-04-01,2,4,6,5,544,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.46,19.81,23.08,23.82,d30+1,31,40,50,60,5.35,3.27,0.74,9.36,163,=,=,=,163,2013-04-30,60,17:10:00,96,174,14.45,9.523,0.985,0.065,0.252,0.102,0.175,0.357,0.056,0.195,0.264,0.401,0.105,=,=,78,0.872
7279,B6.A-15 BC2,6821,6850,=,=,=,M,BC2,2013-03-01,9,2013-04-01,2013-04-01,4,4,8,5,544,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,15.8,20.5,22.85,24.18,=,31,40,50,60,4.7,2.35,1.33,8.38,163,=,=,=,163,2013-05-01,61,10:20:00,95,176,14.45,10.018,1.347,0.064,0.267,0.103,0.169,0.379,0.072,0.211,0.273,0.407,0.149,=,=,81,0.935
7280,B6.A-15 BC2,6821,6850,=,=,=,M,BC2,2013-03-01,9,2013-04-01,2013-04-01,4,4,8,5,545,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,15.36,19.9,23.06,24.26,=,31,40,50,60,4.54,3.16,1.2,8.9,163,=,=,=,163,2013-05-01,61,10:34:00,93,175,14.6,9.825,1.222,0.075,0.288,0.119,0.17,0.317,0.05,0.197,0.271,0.4,0.156,=,=,82,0.835
7281,B6.A-15 BC2,6821,6850,=,=,=,M,BC2,2013-03-01,9,2013-04-01,2013-04-01,4,4,8,5,545,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.32,18.97,22.43,23.89,=,31,40,50,60,4.65,3.46,1.46,9.57,163,=,=,=,163,2013-05-01,61,10:50:00,93,170,14.4,10.218,1.265,0.074,0.26,0.114,0.131,0.269,0.049,0.167,0.235,0.402,0.16,=,=,77,0.72
7282,B6.A-15 BC2,6821,6850,=,=,=,M,BC2,2013-03-01,9,2013-04-01,2013-04-01,4,4,8,5,545,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,15.23,17.81,21.56,22.42,=,31,40,50,60,2.58,3.75,0.86,7.19,163,=,=,=,163,2013-05-01,61,11:06:00,91,168,14.2,9.076,1.107,0.069,0.239,0.093,0.134,0.32,0.064,0.181,0.329,0.404,0.144,=,=,77,0.894
7283,B6.A-15 BC2,6818,6846,=,=,=,M,BC2,2013-03-01,5,2013-04-01,2013-04-01,1,4,5,5,545,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,15.36,19.76,22.81,24.35,=,31,40,50,60,4.4,3.05,1.54,8.99,179,=,=,=,179,2013-05-01,61,11:19:00,93,171,14.45,9.867,1.198,0.064,0.282,0.108,0.173,0.389,0.089,0.207,0.339,0.409,0.154,=,=,78,1.024
7284,B6.A-15 BC2,6818,6846,=,=,=,M,BC2,2013-03-01,5,2013-04-01,2013-04-01,1,4,5,5,545,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,16.04,20.4,23.15,24.23,=,31,40,50,60,4.36,2.75,1.08,8.19,179,=,=,=,179,2013-05-01,61,11:35:00,94,171,14.5,10.189,1.197,0.078,0.284,0.11,0.177,0.352,0.086,0.215,0.312,0.417,0.154,=,=,77,0.965
7285,B6.A-15 BC2,6818,6846,=,=,=,M,BC2,2013-03-01,5,2013-04-01,2013-04-01,1,4,5,5,546,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,16.69,21.03,24.39,26.27,=,31,40,50,60,4.34,3.36,1.88,9.58,179,=,=,=,179,2013-05-01,61,11:50:00,94,174,14.8,11.16,1.356,0.098,0.31,0.129,0.182,0.226,0.046,0.167,0.255,0.414,0.139,=,=,80,0.694
7286,B6.A-15 BC2,6818,6846,=,=,=,M,BC2,2013-03-01,5,2013-04-01,2013-04-01,1,4,5,5,546,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,15.31,20.01,23.83,25.34,=,31,40,50,60,4.7,3.82,1.51,10.03,179,=,=,=,179,2013-05-01,61,12:04:00,92,172,14.6,10.532,1.314,0.086,0.293,0.107,0.17,0.248,0.045,0.099,0.218,0.399,0.164,=,=,80,0.61
7293,B6.C,6645,6830,7016,=,=,M,4,2013-03-01,10,2013-04-01,2013-04-01,6,4,10,5,546,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,11.99,16.25,19.6,22.05,=,31,40,50,60,4.26,3.35,2.45,10.06,178,139,=,=,159,2013-05-01,61,12:20:00,90,169,14.05,9.1,1.084,0.064,0.22,0.156,0.105,0.241,0.046,0.13,0.241,0.386,0.14,=,=,79,0.658
7294,B6.C,6645,6830,7016,=,=,M,4,2013-03-01,10,2013-04-01,2013-04-01,6,4,10,5,546,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.61,19.06,22.22,24.36,=,31,40,50,60,4.45,3.16,2.14,9.75,178,139,=,=,159,2013-05-01,61,12:34:00,96,175,14.25,9.995,1.204,0.071,0.261,0.128,0.151,0.359,0.061,0.178,0.31,0.394,0.17,=,=,79,0.908
7295,B6.C,6645,6830,7016,=,=,M,4,2013-03-01,10,2013-04-01,2013-04-01,6,4,10,5,546,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.35,19.24,22.89,24.3,=,31,40,50,60,4.89,3.65,1.41,9.95,178,139,=,=,159,2013-05-01,61,12:47:00,92,175,14.45,10.603,1.185,0.076,0.277,0.118,0.151,0.277,0.042,0.143,0.246,0.398,0.126,=,=,83,0.708
7296,B6.C,6645,6830,7016,=,=,M,4,2013-03-01,10,2013-04-01,2013-04-01,6,4,10,5,548,S,1,1,B,2013-04-10,2013-04-20,2013-04-30,14.54,19.36,23.73,25.65,d40+1,31,40,50,60,4.82,4.37,1.92,11.11,178,139,=,=,159,2013-05-01,61,13:01:00,95,177,14.55,10.326,1.175,0.085,0.27,0.112,0.157,0.303,0.044,0.15,0.251,0.391,0.153,=,=,82,0.748
7297,B6.A-X BC1,6685,=,=,=,=,M,BC1,2013-03-02,9,2013-04-01,2013-04-01,5,4,9,5,548,S,1,1,B,2013-04-11,2013-04-21,2013-05-01,15.09,19.18,23.1,25.44,=,30,40,50,60,4.09,3.92,2.34,10.35,140,179,164,=,161,2013-05-02,61,09:45:00,96,178,14.65,10.323,1.39,0.072,0.284,0.111,0.175,0.311,0.06,0.16,0.288,0.411,0.155,=,=,82,0.819
7298,B6.A-X BC1,6685,=,=,=,=,M,BC1,2013-03-02,9,2013-04-01,2013-04-01,5,4,9,5,548,S,1,1,B,2013-04-11,2013-04-21,2013-05-01,13.96,18.66,22.59,25.09,=,30,40,50,60,4.7,3.93,2.5,11.13,140,179,164,=,161,2013-05-02,61,10:00:00,93,175,14.45,10.108,1.356,0.097,0.272,0.109,0.181,0.28,0.054,0.166,0.259,0.385,0.133,=,=,82,0.759
7299,B6.A-X BC1,6685,=,=,=,=,M,BC1,2013-03-02,9,2013-04-01,2013-04-01,5,4,9,5,548,S,1,1,B,2013-04-11,2013-04-21,2013-05-01,14.63,19.51,22.68,24.68,=,30,40,50,60,4.88,3.17,2,10.05,140,179,164,=,161,2013-05-02,61,10:12:00,94,176,14.65,9.853,1.273,0.07,0.272,0.113,0.168,0.364,0.064,0.178,0.311,0.399,0.184,=,=,82,0.917
7300,B6.A-X BC1,6685,=,=,=,=,M,BC1,2013-03-02,9,2013-04-01,2013-04-01,5,4,9,5,548,S,1,1,B,2013-04-11,2013-04-21,2013-05-01,15.07,19.82,22.79,25.73,=,30,40,50,60,4.75,2.97,2.94,10.66,140,179,164,=,161,2013-05-02,61,10:25:00,95,177,14.85,11.051,1.388,0.08,0.317,0.115,0.175,0.244,0.04,0.151,0.213,0.401,0.178,=,=,82,0.648
